incident_number,incident_summary,true_location,llama3_8b_pred,mistral_7b_pred,mixtral_8x7b_pred,flan_t5_xl_pred,gpt4o_mini_pred,gemini_flash_pred
301261501,The Maoists also damaged railway track between Kirandul and Bacheli town and opened fire on Chintagufa and Timilwada Police camps in Sukma District on January 26.,"state: Chhattisgarh, district: Sukma, village: Kirandul, other_locations: Bacheli town; Chintagufa and Timilwada Police camps","state: Chhattisgarh, district: Sukma, village: Timilwada, other_locations: Kirandul","state: Chhattisgarh, district: Sukma, village: Not mentioned, other_locations: Kirandul","state: Chhattisgarh, district: Sukma, village: Chintagufa","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Sukma, other_locations: Kirandul",
301261502,A 50-ft tall Maoist memorial constructed in the dense forest of Machanar in Kondagaon District of Chhattisgarh has been demolished by SF personnel.,"state: Chhattisgarh, district: Kondagaon, other_locations: Machanar forest","district: Kondagaon, village: Machanar, other_locations: dense forest of Machanar","state: Chhattisgarh, district: Kondagaon, village: Machanar, other_locations: """"","state: Chhattisgarh, district: Kondagaon, village: Machanar","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kondagaon, village: Machanar",
801281502,"Acting on a tip-off, Police arrested a Naxal 'commander', identified as Prakash Kerketta alias Arvind - in Ranchi District of Jharkhand. The LWE was involved in at least 15 cases including murder and extortion. He had launched a separate outfit named Jharkhand Gram Raksha Dal. A country made carbine, gun, bullets and motorcycle were also recovered from him.","state: Jharkhand, district: Ranchi",state: Jharkhand - District: Ranchi - No village or other locations are mentioned. So,"state: Jharkhand, district: Ranchi, other_locations: Empty","state: Jharkhand, district: Ranchi, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Ranchi",
801281501,"A CPI-Maoist self-styled 'zonal commander' was arrested in Garhwa District of Jharkhand. SP Sudhir Kumar Jha said that the Maoist, identified as Jagdish Budhayadav, was arrested from Kulhi village under Bandharia Police Station limits following a tip-off. A country-made pistol, four bullets and INR 1.34 lakh cash were recovered from his possession.","state: Jharkhand, district: Garhwa, village: Kulhi, other_locations: Bandharia, Bandharia Police Station","district: Garhwa, village: Kulhi, other_locations: Bandharia Police Station","state: Jharkhand, district: Garhwa, village: Kulhi, other_locations: Bandharia Police Station","state: Jharkhand, district: Garhwa, village: Kulhi, other_locations: Bandharia Police Station","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Garhwa, village: Kulhi, other_locations: Bandharia Police Station",
301281501,"Rebels looted ballot boxes from around 30 booths in Sukma, Dantewada and Kanker in Bastar region.","state: Chhattisgarh, district: Sukma, other_locations: Bastar","state: Chhattisgarh, district: Sukma","state: Chhattisgarh, district: Sukma","state: Chhattisgarh, district: Sukma","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Sukma, other_locations: Dantewada",
1001291501,"Combing operations have been intensified in Western Ghats of Southern India after an Odisha-based Maoist, identified as Jaghwanth Poojari, was arrested in Tenmalai forest area of Kollam District of Kerala.","state: Kerala, district: Kollam, village: Thenmala, other_locations: Tenmalai forest area","state: Kerala, district: Kollam, village: Tenmalai, other_locations: Western Ghats","state: Kerala, district: Kollam, village: Not mentioned, other_locations: Tenmalai forest area.","state: Kerala, district: Kollam, village: Tenmalai, other_locations: Western Ghats","state: name>, district: name>, village: name>, other_locations: name>","state: Kerala, district: Kollam, village: Tenmalai, other_locations: forest area",
1001301501,The office of the NHAI at Kalamassery in Kochi of Ernakulam District of Kerala was vandalized by unidentified miscreants claiming to be affiliated to the CPI-Maoist. Police said there were no eyewitnesses to the incident. The attackers left pamphlets protesting against the acquisition of land for the National Highway expansion and privatization of public organizations. The pamphlets claimed that the attack was carried out by CPI-Maoist. 'CPI-Maoist' was also scrawled in black letters on the walls of the office.,"state: Kerala, district: Ernakulam, other_locations: Kochi, Kalamassery in Kochi",state: Kerala - District: Ernakulam - Village: Kalam,"state: Kerala, district: Ernakulam, village: (not mentioned), other_locations: Kochi","state: Kerala, district: Ernakulam, village: Kalamassery, other_locations: NHAI office","state: name>, district: name>, village: name>, other_locations: name>","state: Kerala, district: Ernakulam, village: Kalamassery, other_locations: Kochi",
801301501,A senior cadre of the CPI-Maoist regional military commission identified as Jairam alias Nagender alias Arun alias Mochhu and his accomplice Bhupender Yadav were arrested at Manandohar in Palamu District of Jharkhand. Police recovered one eight round revolver from the possession of Jairam.,"state: Jharkhand, district: Palamu, village: Manandohar, other_locations: Nawadiha","district: Palamu, village: Manandohar, other_locations: other_locations: . Explanation: The incident took place in Jharkhand state","state: Jharkhand, district: Palamu, village: Manandohar, other_locations: """"","state: Jharkhand, district: Palamu, village: Manandohar","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Palamu, village: Manandohar",
1401301501,"Three CPI-Maoist cadres, identified as Joseph Munda (35), Sipren Munda (31) and Panalal Bhakta (17), surrendered before Police in Rourkela in Sundargarh District of Odisha. Joseph was involved in a murder case and landmine blast while Sipren and Panalal were also involved in many acts of violence. Panalal also cooked food for party members.","state: Odisha, district: Sundargarh, village: Rourkela","district: Sundargarh, village: Rourkela, other_locations: Sundargarh District. Explanation: The location hierarchy is extracted as follows: - The state is Odisha. - The district is Sundargarh. - The village is R","state: Odisha, district: Sundargarh, village: Not mentioned, other_locations: Rourkela.","state: Odisha, district: Sundargarh","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Sundargarh, village: Rourkela",
1802011501,"A CPI-Maoist couple, Reddaboina Swamy alias Janardhan and his wife Shyamala, surrendered before SP B. Sumathi at the District Police headquarters in Medak District of Telangana.","state: Telangana, district: Medak","district: Medak, other_locations: District Police headquarters"" Reasoning Skill: This question requires the ability to identify and extract relevant information from a given text","state: Telangana, district: Medak, village: Not mentioned, other_locations: Not mentioned.","state: Telangana, district: Medak, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Telangana, district: Medak, other_locations: District Police headquarters",
102011501,The Visakhapatnam rural Police arrested four 'militia' members belonging to the CPI-Maoist during a raid at a village in Bothili panchayat in G. Madugula mandal of Visakhapatnam District.,"state: Andhra Pradesh, district: Visakhapatnam, village: Bothili, other_locations: G. Madugula","state: Andhra Pradesh, district: Visakhapatnam, village: Bothili, other_locations: G. Madugula mandal","state: Visakhapatnam, district: Visakhapatnam District, village: Bothili, other_locations: G. Madugula mandal","state: Andhra Pradesh, district: Visakhapatnam, village: Bothili panchayat, other_locations: G. Madugula mandal","state: name>, district: name>, village: name>, other_locations: name>","state: Andhra Pradesh, district: Visakhapatnam, village: Bothili, other_locations: G. Madugula",
802021501,"SF personnel detected and defused a powerful can-bomb in West Singhbhum District of Jharkhand. Following a tip-off, the SFs comprising CRPF personnel and District Police Force, detected the bomb on Tiriposi-Bitkilsoya road while on patrol, SP, N K Singh said.","state: Jharkhand, district: West Singhbhum, village: Tiriposi, other_locations: Bitkilsoya","district: West Singhbhum, village: Tiriposi, other_locations: Bitkilsoya","state: Jharkhand, district: West Singhbhum, village: (Not Mentioned), other_locations: Tiriposi-Bitkilsoya road.","state: Jharkhand, district: West Singhbhum, village: Tiriposi-Bitkilsoya","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: West Singhbhum, other_locations: Tiriposi-Bitkilsoya road",
302021501,"A station house officer and an assistant constable of Chhattisgarh Police were killed and six other SF personnel, including an assistant commandant of BSF, injured when CPI-Maoist cadres ambushed a joint patrolling team in Kanker District.","state: Chhattisgarh, district: Kanker","district: Kanker, other_locations: . Note: The answer is in the exact required format. The village name is missing","state: Chhattisgarh, district: Kanker, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Kanker, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker",
1002031501,"The Kochi city Police arrested a man, identified as Jose, for his alleged involvement in the attack on the office of Nitta Gelatin India Limited in November 2014. The man was detained by the city Police from Kannur.","state: Kerala, district: Kannur","state: Kerala, district: Kannur","state: Kerala, district: Kannur, village: Not mentioned, other_locations: Kochi city.","state: Kerala, district: Kannur, village: <not mentioned>, other_locations: Kochi city","state: name>, district: name>, village: name>, other_locations: name>","state: Kerala, district: Kannur, other_locations: Kochi",
1402031501,"The CPI-Maoist cadres killed a contractor, identified as Laxmi Patnaik (23), at a weekly market in Trilochanpur under Lanjigarh Police Station in Kalahandi District. Some posters left by the killers claimed that Patnaik was a 'Police Informer'.","state: Odisha, district: Kalahandi, village: Trilochanpur, other_locations: Lanjigarh, Lanjigarh Police Station","state: Odisha, district: Kalahandi, village: Trilochanpur, other_locations: Lanjigarh Police Station","state: Odisha, district: Kalahandi, village: Trilochanpur, other_locations: Lanjigarh Police Station.","state: Odisha, district: Kalahandi, village: Trilochanpur, other_locations: Lanjigarh Police Station","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Kalahandi, village: Trilochanpur, other_locations: Lanjigarh Police Station",
302031502,A CRPF trooper was injured in a blast of 'pressure bomb' planted by the Maoists in the neighbouring Bijapur District. The incident took place near Cheramangi village under Awapalli Police Station limits while the CRPF was conducting anti-Maoist operation.,"state: Chhattisgarh, district: Bijapur, village: Cheramangi, other_locations: Awapalli Police Station","district: Bijapur, village: Cheramangi, other_locations: CRPF was conducting anti-Maoist operation. (Note: The state is not mentioned in the incident","state: Chhattisgarh, district: Bijapur, village: Cheramangi, other_locations: Awapalli Police Station.","state: Chhattisgarh, district: Bijapur, village: Cheramangi, other_locations: Awapalli Police Station","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur, village: Cheramangi, other_locations: Awapalli Police Station",
302031501,"Four persons, including a woman, were injured as a private passenger bus they were travelling in was hit by a landmine blast triggered by the CPI-Maoist in Narayanpur District. Some Police personnel were also on board, but they were not harmed.","state: Chhattisgarh, district: Narayanpur","state: Odisha, district: Narayanpur","state: Chhattisgarh, district: Narayanpur, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Narayanpur, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Narayanpur",
102041501,As many as 13 'militia' members of Korukonda area committee belonging to the CPI-Maoist surrendered before ASP A. Babujee at Paderu in the Agency area of Visakhapatnam District.,"state: Andhra Pradesh, district: Visakhapatnam, village: Paderu Agency area","state: Andhra Pradesh, district: Visakhapatnam, village: Korukonda, other_locations: Paderu","state: Visakhapatnam, district: Paderu, village: (not mentioned), other_locations: Agency area.","state: Andhra Pradesh, district: Visakhapatnam, village: Paderu, other_locations: Korukonda area committee","state: name>, district: name>, village: name>, other_locations: name>","state: Andhra Pradesh, district: Visakhapatnam, other_locations: Paderu",
802051501,"A 'platoon commander' of the CPI-Maoist was arrested from Jolbigha under Pratappur Police Station area of Chatra District. The Maoist has been identified as Mahendra Yadav. A country made pistol, four live cartridges, four mobile phones, various sim-cards and INR 6,5000 in cash along with Maoist literature have been recovered from his possession. SP Surendra Kumar Jha said that Yadav was arrested during a joint raid conducted by the district police, CRPF personnel and troopers of the CoBRA Battalion. The Maoist is also the mastermind of the 'technical cell' of the Maoists, the SP said.","state: Jharkhand, district: Chatra, village: Joldigha, other_locations: Pratappur","state: Jharkhand, district: Chatra, village: Jolbigha, other_locations: Pratappur Police Station","state: Jharkhand, district: Chatra, village: Not mentioned, other_locations: Pratappur Police Station area","state: Jharkhand, district: Chatra, village: Jolbigha","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Chatra, village: Jolbigha, other_locations: Pratappur Police Station",
802061502,Khunti District Police force arrested one ultra belonging to the PLFI from Karra Police Station in Khunti District.,"state: Jharkhand, district: Khunti, other_locations: Karra, Karra Police Station","state: Jharkhand, district: Khunti, village: Karra"" Explanation: The incident is located in the state of Jharkhand","state: Jharkhand, district: Khunti, village: Not mentioned, other_locations: Karra Police Station.","state: Jharkhand, district: Khunti, village: Karra","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Khunti, village: Karra",
802061501,"Eighteen can bombs, each weighing between 15 to 20 kilograms, suspected to be planted by the CPI-Maoist underneath a kaccha road have been recovered in Khunti District.","state: Jharkhand, district: Khunti","state: Jharkhand, district: Khunti, village: None, other_locations: kaccha road. Explanation: The incident mentions the state as Jharkhand","state: Jharkhand, district: Khunti, village: Not mentioned, other_locations: Not mentioned.","state: Jharkhand, district: Khunti, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Khunti",
302061501,"A six kilogram pressure bomb, planted by the CPI-Maoist to target SF personnel was recovered in Rajnandgaon District.","state: Chhattisgarh, district: Rajnandgaon","state: Chhattisgarh, district: Rajnandgaon, village: None, other_locations: None"" Reasoning Skill: This question requires the ability to identify and extract relevant information from a text","state: Chhattisgarh, district: Rajnandgaon, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Rajnandgaon, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Rajnandgaon",
1202061501,"Indersa Parsa (50), elder brother of village Police warden, was killed by the CPI-Maoist cadres, suspecting him to be 'Police Informer' at Ghodezhari village in Dhanora tehsil in Gadchiroli District.","state: Maharashtra, district: Gadchiroli, village: Ghodezhari, other_locations: Dhanora","state: Maharashtra, district: Gadchiroli, village: Ghodezhari, other_locations: Dhanora tehsil. Explanation: The location hierarchy is extracted as follows: - State: Maharashtra - District: Gadchiroli - Village: Ghodezhari -","state: Maharashtra, district: Gadchiroli, village: Ghodezhari, other_locations: Dhanora tehsil.","state: Maharashtra, district: Gadchiroli, village: Ghodezhari, other_locations: Dhanora tehsil","state: name>, district: name>, village: name>, other_locations: name>","state: Maharashtra, district: Gadchiroli, village: Ghodezhari, other_locations: Dhanora",
302071501,Six CPI-Maoist cadres including three female cadres were arrested by the BSF personnel during an operation conducted in forested patch near Prokal and Manhakal villages of Kanker District.,"state: Chhattisgarh, district: Kanker, village: Prokal, other_locations: Manhakal village","state: Chhattisgarh, district: Kanker, village: Prokal","state: Chhattisgarh, district: Kanker, village: Prokal, other_locations: Manhakal","state: Chhattisgarh, district: Kanker, village: Prokal","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker, village: Prokal, other_locations: Manhakal",
802071501,"A CPI-Maoist 'area commander', identified as Navin alias Upendra Paswan and two of his accomplices, Kanda Vishwakarma and Lofar Chaki, were arrested by SFs from Porahat forest under West Singhbhum District. Paswan was the 'area commander' of Chatarapur in Palamau District. Two pistols, some live cartridges and a vehicle were seized from them.","state: Jharkhand, district: West Singhbhum, other_locations: Porahat forest","district: West Singhbhum, village: Porahat, other_locations: Chatarapur","state: Jharkhand, district: West Singhbhum, village: Porahat, other_locations: Chatarapur","state: Jharkhand, district: West Singhbhum, village: <not mentioned>, other_locations: Chatarapur","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: West Singhbhum, other_locations: Porahat forest",
1402081501,"Around 40 armed Maoist cadres torched two vehicles and one vibrator machine of a contractor, engaged in road construction, near Badakendu along Turekali-Makhan road in Bolangir District. The Maoists also warned the administration to facilitate drinking water and medical facility to the people of the area through some posters.","state: Odisha, district: Bolangir, village: Badakendu, other_locations: Turekali-Makhan road","state: Odisha, district: Bolangir, village: Badakendu, other_locations: Turekali-Makhan road. (Note: Odisha is the name of the state","state: Odisha, district: Bolangir, village: Not mentioned, other_locations: Turekali-Makhan road","state: Odisha, district: Bolangir, village: Badakendu, other_locations: Turekali-Makhan road","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Bolangir, village: Badakendu, other_locations: Turekali-Makhan road",
302081501,"Three CRPF personnel, including an assistant sub-inspector, were injured when a pressure bomb laid by CPI-Maoist cadres exploded near Dubaiguda village under Awapalli Police Station area in Bijapur District.","state: Chhattisgarh, district: Bijapur, village: Dubaiguda, other_locations: Awapalli Police Station","village: Dubaiguda, other_locations: Awapalli Police Station","state: Chhattisgarh, district: Bijapur, village: Dubaiguda, other_locations: Awapalli Police Station area.","state: Chhattisgarh, district: Bijapur, village: Dubaiguda, other_locations: Awapalli Police Station area","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur, village: Dubaiguda, other_locations: Awapalli Police Station",
802081501,"A CPI-Maoist cadre, identified as Anil Singh, surrendered before the DGP Rajeev Kumar at a function in Rania of Khunti District. He also deposited a carbine and a rifle before DGP Kumar.","state: Jharkhand, district: Khunti, other_locations: Rania","state: Jharkhand, district: Khunti, village: Rania, other_locations: (Note: other_locations is empty because no other locations are mentioned) Explanation: The location hierarchy is extracted as follows: - State: Jharkhand - District: Khunti","state: Jharkhand, district: Khunti, village: Rania, other_locations: ''","state: Jharkhand, district: Khunti, village: Rania","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Khunti, village: Rania",
1202081501,"A 25-year-old man, identified as Naresh Yerawar, was killed by CPI-Maoist cadres in Gadchiroli District. His throat was slit and the Maoists also burnt his motorcycle, before fleeing into the forest, Police said.","state: Maharashtra, district: Gadchiroli","state: Maharashtra, district: Gadchiroli, village: None, other_locations: forest"" Explanation: The incident took place in Gadchiroli District","state: Maharashtra, district: Gadchiroli, village: Not mentioned, other_locations: Not mentioned.","state: Maharashtra, district: Gadchiroli, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Maharashtra, district: Gadchiroli",
302091501,"Three CPI-Maoist cadres, one of them carrying a cash reward on his head, were arrested during an area domination exercise by security personnel in Bijapur District. The cadres were arrested by the district force from a forested patch under Bangapal Police Station limits, Bijapur SP KL Dhruv said. Those apprehended were identified as Barsa Sudru (38), Korsa Sudru (42) and Baisu Jurri (40), working as 'sangham' (lower rung cadres) members in Indravati 'area committee' of the CPI- Maoist.","state: Chhattisgarh, district: Bijapur, other_locations: Bangapal Police Station","district: Bijapur, village: Bangapal, other_locations: Indravati","state: Chhattisgarh, district: Bijapur, village: Not mentioned, other_locations: Indravati","state: Chhattisgarh, district: Bijapur, village: Bangapal, other_locations: Indravati area committee","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur, other_locations: Bangapal",
1402111501,Security personnel and the CPI-Maoist cadres exchanged fire in Lanjigarh area of Kalahandi District. A joint team of DVF and CRPF was on a combing operation when the Maoist opened fire at them. Cache of arms and ammunition has been recovered from the encounter site.,"state: Odisha, district: Kalahandi, other_locations: Lanjigarh","state: Odisha, district: Kalahandi, village: Lanjigarh, other_locations: encounter site. Explanation: The incident mentions the following locations: - Lanjigarh (village) - Kalahandi (district) - Odisha (state) - encounter","state: Odisha, district: Kalahandi, village: Lanjigarh, other_locations: """"","state: Odisha, district: Kalahandi, village: Lanjigarh","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Kalahandi, village: Lanjigarh",
302111501,SFs have busted a CPI-Maoist training camp and recovered a cache of arms and ammunition besides material used for making explosives in forested Gonderas hills under Aranpur Police Station limits in Dantewada District.,"state: Chhattisgarh, district: Dantewada, other_locations: forested Gonderas hills; Arunpur Police Station","state: Chhattisgarh, district: Dantewada, village: Gonderas, other_locations: Aranpur Police Station","state: Chhattisgarh, district: Dantewada, village: (not mentioned), other_locations: Aranpur Police Station","state: Chhattisgarh, district: Dantewada, village: Aranpur, other_locations: Gonderas hills","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, village: Aranpur, other_locations: Gonderas hills",
1402111502,A CPI-Maoist camp was destroyed and explosives seized from Semlabhata village under Lanjigarh Police limits of Kalahandi District. The seizure followed an encounter between Police and the Maoists.,"state: Odisha, district: Kalahandi, village: Semlabhata, other_locations: Lanjigarh, Lanjigarh Police limits","state: Odisha, district: Kalahandi, village: Semlabhata, other_locations: Lanjigarh Police limits. Reasoning Skill: This question requires the ability to identify and extract relevant information from a text","state: Kalahandi, district: Lanjigarh, village: Semlabhata, other_locations: """"","state: Odisha, district: Kalahandi, village: Semlabhata, other_locations: Lanjigarh Police limits.","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Kalahandi, village: Semlabhata, other_locations: Lanjigarh Police limits",
1402121501,Armed CPI-Maoist cadres hacked a villager to death in Pallahara of Angul District suspecting him to be a 'police informer'. The villagers said a group of armed Maoists stormed into Pattamundai village and took away Samuel Bhadra after locking his family members in a room. They then hacked Bhadra to death and fled to nearby forest. The Maoists left behind eight posters which stated that Bhadra was eliminated as he was a police informer. They claimed that one of their leaders was killed by police on information provided by Bhadra. Angul Superintendent of Police Rajesh Pandit Uttam Rao confirmed that Bhadra was not a police informer.,"state: Odisha, district: Angul, village: Pattamundai, other_locations: Pallahara","state: Odisha, district: Angul, village: Pattamundai, other_locations: Pallahara","state: Odisha, district: Angul, village: Pallahara, other_locations: Pattamundai.","state: Odisha, district: Angul, village: Pattamundai, other_locations: Pallahara","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Angul, village: Pattamundai, other_locations: Pallahara",
1402121502,"A trooper of SOG was seriously injured in a landmine explosion triggered by Maoists in Turekala area of Balangir District. ""The jawan was engaged in combing operation in a forest area near Kameimunda village yesterday when the landmine went off,"" SDPO Titilagarh, Dillip Purohit said.","state: Odisha, district: Balangir, village: Kameimunda, other_locations: Turekala area","state: Odisha, district: Balangir, village: Kameimunda, other_locations: Turekala","state: Odisha, district: Balangir, village: Kameimunda, other_locations: Turekala","state: Odisha, district: Balangir, village: Kameimunda, other_locations: Turekala area","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Balangir, village: Kameimunda, other_locations: Turekala",
802121501,Train services in the Gomoh-Gaya section of the East Central Railway were disrupted as suspected CPI-Maoist cadres blew up railway tracks during the Jharkhand bandh called by them to protest the amendment in Land Acquisition Act. The track was blown up on the Jamunia river bridge between Gomoh-Telo stations under Dhanbad division of East Central Railway.,"state: Jharkhand, district: Dhanbad, other_locations: Dhanbad, Jamunia river bridge between Gomoh-Telo stations under Dhanbad division of East Central Railway","district: Dhanbad, village: Jamunia, other_locations: Gomoh-Gaya","state: Jharkhand, district: Dhanbad, village: (not mentioned), other_locations: Gomoh-Telo sections","state: Jharkhand, district: Dhanbad, village: <not mentioned>, other_locations: Gomoh-Telo stations","state: name>, district: name>, village: name>, other_locations: name>","state: Jharkhand, district: Dhanbad, other_locations: Gomoh-Gaya",
302121501,"Acting on a tip off a joint team of DF and STF destroyed a CPI-Maoist training camp on the hills of Sopiras and Gonderas regions falling under Aranpur Police Station limits of Dantewada District. After receiving a tip off, a joint team of DF and STF raided the spot when the Maoists opened indiscriminate fire on them. The security personnel retaliated. Finally, the Maoists ran into the deep jungles.","state: Chhattisgarh, district: Dantewada, other_locations: Aranpur Police Station; hills of Sopiras and Gonderas regions","district: Dantewara, village: Sopiras, other_locations: Gonderas","state: Chhattisgarh, district: Dantewada, village: (Not Mentioned), other_locations: Sopiras and Gonderas regions","state: Chhattisgarh, district: Dantewada, village: Aranpur, other_locations: Sopiras","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada, other_locations: Sopiras",
1002121501,"A 35-year-old man, identified K. Benny, was found killed of bullet injuries around midnight on February 12 in a forest area close to the Bhavani river at Chindakki near Attappady in Palakkad District. Police said K Benny was shot by unidentified assailants. The incident took place when Benny along with his friend Sheli was fishing in the river. Though the Police suspect it to be a case of CPI-Maoist attack the local people want a probe into the presence of the two youth at the isolated location late night.","state: Kerala, district: Palakkad, village: Attappady, other_locations: forest area close to the Bhavani river at Chindakki near Attappady",state: palakkad - District: Palakkad,"state: Kerala, district: Palakkad, village: Attappady, other_locations: Chindakki","state: Kerala, district: Palakkad, village: Chindakki, other_locations: Bhavani river","state: name>, district: name>, village: name>, other_locations: name>","state: Kerala, district: Palakkad, village: Chindakki, other_locations: Bhavani river",
302131501,A Maoist 'section commander' identified as Sukhnath alias Oyami Chaitu was arrested by District Force in Dantewada District.,"state: Chhattisgarh, district: Dantewada","state: Chhattisgarh, district: Dantewada, village: None, other_locations: None"" Explanation: The incident mentions the state as Chhattisgarh","state: Chhattisgarh, district: Dantewada, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Dantewada, village: not mentioned, other_locations: not mentioned.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Dantewada",
1202131501,"Four Maoists, including three women, with rewards on their heads, surrendered before IGP Yashwant Jethwa in Malkangiri District. The Maoists have been identified as Mangala Podiami (25) alias Arjun, Rame Madhi (25) alias Anita, Ganga Kurmi (20) alias Sangita and Kunjame Rajje (25) alias Gita. Podiami, Madhi, Kurmi and Rajje carried reward of INR 400000, INR 400000, INR 100000 and INR 100000 on their head respectively.","state: Odisha, district: Malkangiri","state: Odisha, district: Malkangiri, village: Not mentioned, other_locations: Not mentioned. Explanation: The incident occurred in Malkangiri District","state: Odisha, district: Malkangiri, village: Not mentioned, other_locations: Not mentioned.","state: Odisha, district: Malkangiri, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Malkangiri",
302131502,"Around a thousand tribals, most of them armed with bows and arrows, gheraoed Tongpal Police Station in Sukma District demanding the release of a Maoist cadre. The villagers, including women and children, have been agitating in front of the Police Station since afternoon seeking the release of Maoist Hadma Deva, who was arrested last week, Tongpal's SHO Keshav Narayan Aditya said. Deva, carrying a reward of INR 2,000 on his head, was wanted in several Maoist incidents in the region and was arrested on February 13 from his native place at Jaimer.","state: Chhattisgarh, district: Sukma, village: Tongpal, other_locations: Tongpal Police Station","district: Sukma, village: Jaimer, other_locations: Tongpal Police Station","state: Chhattisgarh, district: Sukma, village: Tongpal, other_locations: Jaimer.","state: Chhattisgarh, district: Sukma, village: Tongpal, other_locations: Jaimer","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Sukma, village: Tongpal, other_locations: Jaimer",
1802141501,"The Bhadrachalam Sub-Division Police of Khammam District claimed to have foiled a bid by CPI-Maoist cadres to plant explosives in the Korkatpadu forest area to kill Policemen. This came to light after the arrest of four persons, including a Maoist 'special guerrilla squad member' and a 'militia commander' in Charla mandal of Khammam District. Police sources said a joint team of Policemen and CoBRA force arrested Madakam Deva (20), an alleged member of the CPI-Maoist SGS, and three others during combing operation in the morning. The team seized one directional mine and one landmine besides 100 metres of electric wire, two electrical detonators and one electric battery from them. The others arrested are 'militia commander' Madakam Jogaiah (21), 'militia member' Podium Andha (19) and 'militia member' Ravva Bhadra (20).","state: Telangana, district: Khammam, other_locations: Korkatpadu forest; Charla mandal","state: Telangana, district: Khammam, village: Charla, other_locations: Korkatpadu forest area","state: Andhra Pradesh, district: Khammam, village: Charla, other_locations: Korkatpadu forest area","state: Telangana, district: Khammam, village: Korkatpadu, other_locations: Charla mandal.","state: name>, district: name>, village: name>, other_locations: name>","state: Telangana, district: Khammam, other_locations: Korkatpadu forest area",
302161503,Assistant constable Nehru Punem (40) was killed by the CPI-Maoist cadres in Bijapur District.,"state: Chhattisgarh, district: Bijapur, other_locations: Bandapal Police Station","state: Karnataka, district: Bijapur, village: None, other_locations: None"" Explanation: The incident occurred in the state of Karnataka. The district where the incident occurred is Bijapur. There is no mention of a village. Other locations are not mentioned. Note: The answer is in the","state: Maharashtra, district: Bijapur, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Bijapur, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur",
